date,event_ticker,away_team,home_team,away_win_prob,home_win_prob,favorite,favorite_win_prob,underdog_win_prob,expected_expiration_utc
20260202,KXNHLGAME-26FEB02TORCGY,Toronto,Calgary,0.515,0.485,Toronto,0.515,0.485,2026-02-03T06:00:00Z
20260202,KXNHLGAME-26FEB02VANUTA,Vancouver,Utah,0.285,0.715,Utah,0.715,0.285,2026-02-03T05:30:00Z
20260202,KXNHLGAME-26FEB02DETCOL,Detroit,Colorado,0.365,0.64,Colorado,0.64,0.365,2026-02-03T05:00:00Z
20260202,KXNHLGAME-26FEB02WPGDAL,Winnipeg,Dallas,0.425,0.585,Dallas,0.585,0.425,2026-02-03T04:30:00Z
20260202,KXNHLGAME-26FEB02SJCHI,San Jose,Chicago,0.505,0.495,San Jose,0.505,0.495,2026-02-03T04:30:00Z
20260202,KXNHLGAME-26FEB02STLNSH,St. Louis,Nashville,0.445,0.555,Nashville,0.555,0.445,2026-02-03T04:00:00Z
20260202,KXNHLGAME-26FEB02MTLMIN,Montreal,Minnesota,0.305,0.705,Minnesota,0.705,0.305,2026-02-03T03:30:00Z
20260202,KXNHLGAME-26FEB02OTTPIT,Ottawa,Pittsburgh,0.345,0.655,Pittsburgh,0.655,0.345,2026-02-03T03:00:00Z
20260202,KXNHLGAME-26FEB02NYIWSH,NY Islanders,Washington,0.665,0.345,NY Islanders,0.665,0.345,2026-02-03T03:00:00Z
20260202,KXNHLGAME-26FEB02BUFFLA,Buffalo,Florida,0.485,0.52,Florida,0.52,0.485,2026-02-03T03:00:00Z
