date,event_ticker,away_team,home_team,away_win_prob,home_win_prob,favorite,favorite_win_prob,underdog_win_prob,expected_expiration_utc
20260202,KXNHLGAME-26FEB02TORCGY,Toronto,Calgary,0.515,0.485,Toronto,0.515,0.485,2026-02-03T06:00:00Z
20260202,KXNHLGAME-26FEB02VANUTA,Vancouver,Utah,0.285,0.715,Utah,0.715,0.285,2026-02-03T05:30:00Z
20260202,KXNHLGAME-26FEB02DETCOL,Detroit,Colorado,0.365,0.645,Colorado,0.645,0.365,2026-02-03T05:00:00Z
20260202,KXNHLGAME-26FEB02WPGDAL,Winnipeg,Dallas,0.425,0.58,Dallas,0.58,0.425,2026-02-03T04:30:00Z
20260202,KXNHLGAME-26FEB02SJCHI,San Jose,Chicago,0.505,0.495,San Jose,0.505,0.495,2026-02-03T04:30:00Z
20260202,KXNHLGAME-26FEB02STLNSH,St. Louis,Nashville,0.445,0.555,Nashville,0.555,0.445,2026-02-03T04:00:00Z
20260202,KXNHLGAME-26FEB02MTLMIN,Montreal,Minnesota,0.455,0.545,Minnesota,0.545,0.455,2026-02-03T03:30:00Z
20260202,KXNHLGAME-26FEB02OTTPIT,Ottawa,Pittsburgh,0.365,0.635,Pittsburgh,0.635,0.365,2026-02-03T03:00:00Z
20260202,KXNHLGAME-26FEB02NYIWSH,NY Islanders,Washington,0.625,0.355,NY Islanders,0.625,0.355,2026-02-03T03:00:00Z
20260202,KXNHLGAME-26FEB02BUFFLA,Buffalo,Florida,0.32,0.695,Florida,0.695,0.32,2026-02-03T03:00:00Z
